,symbol,date,mcap_usd
0,apt,20-10-2022,941159622.9012609
1,apt,21-10-2022,955581899.296862
2,apt,22-10-2022,973533642.6784576
3,apt,23-10-2022,1153882096.4872062
4,apt,24-10-2022,1265330204.7806406
5,apt,25-10-2022,1245272350.221776
6,apt,26-10-2022,1140768646.7713194
7,apt,27-10-2022,1192443476.9384902
8,apt,28-10-2022,1134752910.0562005
9,apt,29-10-2022,1061889993.4607255
10,apt,30-10-2022,1029685433.0144224
11,apt,31-10-2022,1013203781.751866
12,apt,01-11-2022,1033834864.8246156
13,apt,02-11-2022,1064403094.9267448
14,apt,03-11-2022,957514396.0740868
15,apt,04-11-2022,937590398.7774038
16,apt,05-11-2022,997918853.4679734
17,apt,06-11-2022,993356708.7103492
18,apt,07-11-2022,945505467.0544451
19,apt,08-11-2022,908547320.927888
20,apt,09-11-2022,702383902.2935767
21,apt,10-11-2022,499875664.1351868
22,apt,11-11-2022,664487272.1013054
23,apt,12-11-2022,652002091.7648472
24,apt,13-11-2022,585738982.6485379
25,apt,14-11-2022,545548750.3277229
26,apt,15-11-2022,544996504.9916679
27,apt,16-11-2022,566004029.9637666
28,apt,17-11-2022,583997822.4728041
29,apt,18-11-2022,608970534.9825218
30,apt,19-11-2022,608973964.0577334
31,apt,20-11-2022,601889356.8126397
32,apt,21-11-2022,531110116.2871544
33,apt,22-11-2022,530146270.614116
34,apt,23-11-2022,561185387.3485185
35,apt,24-11-2022,579406705.270235
36,apt,25-11-2022,578719599.0227679
37,apt,26-11-2022,577347796.3826162
38,apt,27-11-2022,618970183.0662673
39,apt,28-11-2022,621288715.0470062
40,apt,29-11-2022,582148929.8847446
41,apt,30-11-2022,608588415.5121852
42,apt,01-12-2022,627815993.1216725
43,apt,02-12-2022,606062421.028358
44,apt,03-12-2022,641429029.0322793
45,apt,04-12-2022,673732226.9027714
46,apt,05-12-2022,680286509.6419257
47,apt,06-12-2022,677569794.731411
48,apt,07-12-2022,658714686.1473311
49,apt,08-12-2022,628174439.0096173
50,apt,09-12-2022,640358077.8875343
51,apt,10-12-2022,627358946.2427944
52,apt,11-12-2022,623600862.7464752
53,apt,12-12-2022,609034283.1578609
54,apt,13-12-2022,588567347.1338217
55,apt,14-12-2022,601486960.7725239
56,apt,15-12-2022,611656870.1101424
57,apt,16-12-2022,605015141.6271275
58,apt,17-12-2022,525295385.4100038
59,apt,18-12-2022,532501110.8615467
60,apt,19-12-2022,529529360.190139
61,apt,20-12-2022,495448639.6008284
62,apt,21-12-2022,508745366.8905825
63,apt,22-12-2022,490309221.53408
64,apt,23-12-2022,483024269.4230921
65,apt,24-12-2022,487992038.9169999
66,apt,25-12-2022,482454910.8766175
67,apt,26-12-2022,464866897.09783816
68,apt,27-12-2022,474216966.7327949
69,apt,28-12-2022,466647706.379482
70,apt,29-12-2022,419747469.3192985
71,apt,30-12-2022,417006218.5597131
72,apt,31-12-2022,440973709.8548232
73,apt,01-01-2023,449080640.67450416
74,apt,02-01-2023,458510051.86835474
75,apt,03-01-2023,488442740.7765125
76,apt,04-01-2023,495682515.60651904
77,apt,05-01-2023,496146348.0422096
78,apt,06-01-2023,481200273.0782443
79,apt,07-01-2023,502192623.16889405
80,apt,08-01-2023,497293149.4992384
81,apt,09-01-2023,504571878.54711545
82,apt,10-01-2023,677800889.762005
83,apt,11-01-2023,717896235.9924748
84,apt,12-01-2023,691751314.0990736
85,apt,13-01-2023,847009376.3356981
86,apt,14-01-2023,888747639.2771753
87,apt,15-01-2023,1013306381.0759872
88,apt,16-01-2023,1258592520.8699503
89,apt,17-01-2023,1291615865.7004342
90,apt,18-01-2023,1226232734.9773688
91,apt,19-01-2023,1220680881.809558
92,apt,20-01-2023,1260093871.6975272
93,apt,21-01-2023,1740634019.6862657
94,apt,22-01-2023,1893595346.577045
95,apt,23-01-2023,2149733853.030506
96,apt,24-01-2023,2061128649.076256
97,apt,25-01-2023,1980498762.7413225
98,apt,26-01-2023,2939906026.8029146
99,apt,27-01-2023,2930306339.501127
100,apt,28-01-2023,2844218884.088629
101,apt,29-01-2023,2873029957.520612
102,apt,30-01-2023,2959909717.770721
103,apt,31-01-2023,2776229680.789633
104,apt,01-02-2023,2701971945.1079035
105,apt,02-02-2023,2920830683.384424
106,apt,03-02-2023,2782918046.4970818
107,apt,04-02-2023,2766113177.848958
108,apt,05-02-2023,2675385064.578784
109,apt,06-02-2023,2513783701.84382
110,apt,07-02-2023,2422193132.006708
111,apt,08-02-2023,2613401071.399157
112,apt,09-02-2023,2459636888.4915323
113,apt,10-02-2023,2163558099.358305
114,apt,11-02-2023,2222657163.2144146
115,apt,12-02-2023,2277889067.4260306
116,apt,13-02-2023,2133335741.1798253
117,apt,14-02-2023,2312835305.5399523
118,apt,15-02-2023,2473259649.475226
119,apt,16-02-2023,2682426115.7695165
120,apt,17-02-2023,2480280843.957241
121,apt,18-02-2023,2485343837.5080867
122,apt,19-02-2023,2432729887.871467
123,apt,20-02-2023,2384984970.5397525
124,apt,21-02-2023,2400040067.0644608
125,apt,22-02-2023,2265958271.165724
126,apt,23-02-2023,2365894640.7655435
127,apt,24-02-2023,2278628285.195083
128,apt,25-02-2023,2178452622.489228
129,apt,26-02-2023,2074969004.4010355
130,apt,27-02-2023,2151851645.3113
131,apt,28-02-2023,2110535660.0211024
132,apt,01-03-2023,2023930771.580839
133,apt,02-03-2023,2270629976.5594263
134,apt,03-03-2023,2195427107.3721576
135,apt,04-03-2023,2000884780.8827949
136,apt,05-03-2023,1929162273.3796515
