,symbol,date,mcap_usd
0,arb,24-03-2023,1712523158.6009588
1,arb,25-03-2023,1630954162.8070574
2,arb,26-03-2023,1572735751.2922666
3,arb,27-03-2023,1641819811.3462472
4,arb,28-03-2023,1482198286.1943953
5,arb,29-03-2023,1553268144.6361072
6,arb,30-03-2023,1566542702.8688078
7,arb,31-03-2023,1751926505.4151864
8,arb,01-04-2023,1781418598.6181686
9,arb,02-04-2023,1654000434.0571477
10,arb,03-04-2023,1525655966.9944491
11,arb,04-04-2023,1476668016.0491443
12,arb,05-04-2023,1574805935.6074336
13,arb,06-04-2023,1592334381.8430984
14,arb,07-04-2023,1545298347.652215
15,arb,08-04-2023,1526791164.7945712
16,arb,09-04-2023,1482730677.2020319
17,arb,10-04-2023,1512593352.165057
18,arb,11-04-2023,1584909814.0721028
19,arb,12-04-2023,1555449010.6656759
20,arb,13-04-2023,1524845066.7524605
21,arb,14-04-2023,1738286885.1495256
22,arb,15-04-2023,2149597180.580647
23,arb,16-04-2023,2109527741.8452888
24,arb,17-04-2023,2157934241.672081
25,arb,18-04-2023,2043666428.491916
26,arb,19-04-2023,2130787147.099942
27,arb,20-04-2023,1893579002.2403064
28,arb,21-04-2023,1835867871.3435276
29,arb,22-04-2023,1873270264.7578459
30,arb,23-04-2023,1867602687.947207
31,arb,24-04-2023,1709458628.7801633
32,arb,25-04-2023,1708928648.1631236
33,arb,26-04-2023,1760261806.7449598
34,arb,27-04-2023,1765507604.2411983
35,arb,28-04-2023,1811132090.4909616
36,arb,29-04-2023,1765624528.2609057
37,arb,30-04-2023,1739604999.62876
38,arb,01-05-2023,1756199309.6636732
39,arb,02-05-2023,1683424908.9385777
40,arb,03-05-2023,1720297766.2521164
41,arb,04-05-2023,1709704730.9937952
42,arb,05-05-2023,1679944227.471062
43,arb,06-05-2023,1730759058.0529017
44,arb,07-05-2023,1581644376.0897784
45,arb,08-05-2023,1579401936.9679146
46,arb,09-05-2023,1393030642.9939663
47,arb,10-05-2023,1406139064.0460985
48,arb,11-05-2023,1501301157.3720899
49,arb,12-05-2023,1395939581.7851868
50,arb,13-05-2023,1495203213.5155168
51,arb,14-05-2023,1498333750.644538
52,arb,15-05-2023,1497748416.255747
53,arb,16-05-2023,1523150683.9269612
54,arb,17-05-2023,1504526385.016283
55,arb,18-05-2023,1530765927.4041831
56,arb,19-05-2023,1473554490.4930172
57,arb,20-05-2023,1485697667.7566605
58,arb,21-05-2023,1483005579.0347536
59,arb,22-05-2023,1441965424.0936167
60,arb,23-05-2023,1436457892.1836092
61,arb,24-05-2023,1488074076.7013226
62,arb,25-05-2023,1417277401.2709074
63,arb,26-05-2023,1411698759.1249495
64,arb,27-05-2023,1478563193.3771555
65,arb,28-05-2023,1497600911.2326434
66,arb,29-05-2023,1591950401.7427378
67,arb,30-05-2023,1567495941.635537
68,arb,31-05-2023,1555189256.467314
