,symbol,date,mcap_usd
0,avax,23-09-2020,124357932.92103656
1,avax,24-09-2020,86335245.96938415
2,avax,25-09-2020,112209367.28386834
3,avax,26-09-2020,115431881.83108865
4,avax,27-09-2020,111216735.78175372
5,avax,28-09-2020,114464431.45007946
6,avax,29-09-2020,102464370.65740834
7,avax,30-09-2020,101476428.14556378
8,avax,01-10-2020,106075718.1781186
9,avax,02-10-2020,101765148.94373225
10,avax,03-10-2020,95235623.92130172
11,avax,04-10-2020,98705092.3254942
12,avax,05-10-2020,97280078.97841498
13,avax,06-10-2020,97598132.46152855
14,avax,07-10-2020,86535411.99838454
15,avax,08-10-2020,84321271.96959245
16,avax,09-10-2020,95666267.60295922
17,avax,10-10-2020,104353473.9399411
18,avax,11-10-2020,98544391.67879473
19,avax,12-10-2020,100492812.71403536
20,avax,13-10-2020,108582519.711606
21,avax,14-10-2020,110080680.83523569
22,avax,15-10-2020,101614515.74379374
23,avax,16-10-2020,101179434.49459964
24,avax,17-10-2020,99262361.22632042
25,avax,18-10-2020,102464240.61286058
26,avax,19-10-2020,101052321.94285494
27,avax,20-10-2020,99287196.09997629
28,avax,21-10-2020,93294082.00219084
29,avax,22-10-2020,96953352.82761252
30,avax,23-10-2020,105613659.25748108
31,avax,24-10-2020,104209761.0585092
32,avax,25-10-2020,102615999.01554418
33,avax,26-10-2020,101220228.0017595
34,avax,27-10-2020,101700425.3400067
35,avax,28-10-2020,101200482.43172462
36,avax,29-10-2020,99642110.96420506
37,avax,30-10-2020,92611506.83782682
38,avax,31-10-2020,91254971.87654056
39,avax,01-11-2020,89124828.89025648
40,avax,02-11-2020,90268828.1074171
41,avax,03-11-2020,88946751.03086248
42,avax,04-11-2020,81232558.92827202
43,avax,05-11-2020,77957366.50910236
44,avax,06-11-2020,82272104.7950755
45,avax,07-11-2020,88335312.05807617
46,avax,08-11-2020,83877177.60827443
47,avax,09-11-2020,84538845.75018345
48,avax,10-11-2020,83349229.42019878
49,avax,11-11-2020,87088350.82790206
50,avax,12-11-2020,85079479.60119635
51,avax,13-11-2020,83573007.65010884
52,avax,14-11-2020,90280893.33736517
53,avax,15-11-2020,85858225.76238146
54,avax,16-11-2020,86917107.65111312
55,avax,17-11-2020,90564375.734851
56,avax,18-11-2020,94031202.96905072
57,avax,19-11-2020,92120855.91840066
58,avax,20-11-2020,89170024.12454775
59,avax,21-11-2020,90652773.82846752
60,avax,22-11-2020,97687305.45423897
61,avax,23-11-2020,95458813.10520576
62,avax,24-11-2020,98827918.30780049
63,avax,25-11-2020,104232031.27779132
64,avax,26-11-2020,97997404.6998645
65,avax,27-11-2020,85894760.41318981
66,avax,28-11-2020,88177719.16363938
67,avax,29-11-2020,89165379.61543828
68,avax,30-11-2020,90415731.8530729
69,avax,01-12-2020,91011244.23821864
70,avax,02-12-2020,87378844.64407429
71,avax,03-12-2020,92200690.6146808
72,avax,04-12-2020,93468840.99869756
73,avax,05-12-2020,86999672.81361604
74,avax,06-12-2020,88766817.87850463
75,avax,07-12-2020,88049032.73434037
76,avax,08-12-2020,83108661.18952127
77,avax,09-12-2020,77010453.02882059
78,avax,10-12-2020,252385545.07816792
79,avax,11-12-2020,243616900.63525727
80,avax,12-12-2020,250576572.1247169
81,avax,13-12-2020,256947331.32839143
82,avax,14-12-2020,256318053.5596465
83,avax,15-12-2020,241461626.67734823
84,avax,16-12-2020,253933092.0884222
85,avax,17-12-2020,256428206.26885608
86,avax,18-12-2020,246257015.6744128
87,avax,19-12-2020,262297801.62879267
88,avax,20-12-2020,266058376.66401336
89,avax,21-12-2020,254455780.6031638
90,avax,22-12-2020,238990435.5854669
91,avax,23-12-2020,238271409.6650733
92,avax,24-12-2020,231269412.8173366
93,avax,25-12-2020,238046567.5781525
94,avax,26-12-2020,228012504.5235704
95,avax,27-12-2020,224768343.1328365
96,avax,28-12-2020,224896698.18329275
97,avax,29-12-2020,227699109.75690803
98,avax,30-12-2020,225312386.26819897
99,avax,31-12-2020,224573485.1174685
100,avax,01-01-2021,234519739.5881872
101,avax,02-01-2021,284123805.91887754
102,avax,03-01-2021,269752040.3911291
103,avax,04-01-2021,271319283.79050165
104,avax,05-01-2021,271901048.1882951
105,avax,06-01-2021,329418903.36190766
106,avax,07-01-2021,357949587.62078243
107,avax,08-01-2021,342991007.25585955
108,avax,09-01-2021,428199152.8732252
109,avax,10-01-2021,567823926.2247876
110,avax,11-01-2021,509290935.3390616
111,avax,12-01-2021,500944759.1810912
112,avax,13-01-2021,596739723.2791654
113,avax,14-01-2021,652929584.2394081
114,avax,15-01-2021,728195727.0258197
115,avax,16-01-2021,728299137.5004963
116,avax,17-01-2021,1006296045.020786
117,avax,18-01-2021,1014138879.3032016
118,avax,19-01-2021,980149877.6898432
119,avax,20-01-2021,909583574.0609672
120,avax,21-01-2021,969325619.7497256
121,avax,22-01-2021,884592513.6531386
122,avax,23-01-2021,983018614.0952848
123,avax,24-01-2021,990131369.1336092
124,avax,25-01-2021,958503970.5227852
125,avax,26-01-2021,942373983.2135644
126,avax,27-01-2021,938407541.5473028
127,avax,28-01-2021,860905474.4245652
128,avax,29-01-2021,926628225.3224598
129,avax,30-01-2021,892930654.0864819
130,avax,31-01-2021,919686929.9696254
131,avax,01-02-2021,1036012456.4582224
132,avax,02-02-2021,1011744189.3323869
133,avax,03-02-2021,1045591515.0400656
134,avax,04-02-2021,1141560748.586234
135,avax,05-02-2021,1173420109.1206522
136,avax,06-02-2021,1360075063.9531133
137,avax,07-02-2021,1386116087.1680558
