,symbol,date,mcap_usd
0,bch,03-08-2017,6573979052.539925
1,bch,04-08-2017,3867188496.221415
2,bch,05-08-2017,3409399309.9336257
3,bch,06-08-2017,3560824836.180709
4,bch,07-08-2017,5278350068.110706
5,bch,08-08-2017,5623732615.99977
6,bch,09-08-2017,4952575665.0308485
7,bch,10-08-2017,4477074306.528819
8,bch,11-08-2017,5322439751.701017
9,bch,12-08-2017,5117036552.570223
10,bch,13-08-2017,4853571623.935709
11,bch,14-08-2017,4828317865.294435
12,bch,15-08-2017,4892470137.130338
13,bch,16-08-2017,4860778333.779183
14,bch,17-08-2017,4854137551.541214
15,bch,18-08-2017,11642388159.017103
16,bch,19-08-2017,11039503719.628674
17,bch,20-08-2017,11535700999.810255
18,bch,21-08-2017,9833093948.677462
19,bch,22-08-2017,11321502607.221312
20,bch,23-08-2017,10967877732.17864
21,bch,24-08-2017,10159675683.733952
22,bch,25-08-2017,10430701408.355114
23,bch,26-08-2017,10087006184.90528
24,bch,27-08-2017,10098004519.262531
25,bch,28-08-2017,9673792053.509111
26,bch,29-08-2017,8926193592.769724
27,bch,30-08-2017,9439605114.402117
28,bch,31-08-2017,9690790658.361256
29,bch,01-09-2017,10240004577.224577
30,bch,02-09-2017,9454433086.13051
31,bch,03-09-2017,10051066163.778517
32,bch,04-09-2017,8716452049.832111
33,bch,05-09-2017,9127992584.006475
34,bch,06-09-2017,10524616475.410835
35,bch,07-09-2017,10794419838.080051
36,bch,08-09-2017,10096383031.291435
37,bch,09-09-2017,9662438091.96498
38,bch,10-09-2017,9187148494.286034
39,bch,11-09-2017,9237102757.287498
40,bch,12-09-2017,8920032851.147795
41,bch,13-09-2017,8515308925.125337
42,bch,14-09-2017,6070426351.202064
43,bch,15-09-2017,6958552815.903674
44,bch,16-09-2017,7269889991.403508
45,bch,17-09-2017,7134756503.962586
46,bch,18-09-2017,7917799775.599446
47,bch,19-09-2017,8820850208.505959
48,bch,20-09-2017,7887362150.000405
49,bch,21-09-2017,6924823073.390881
50,bch,22-09-2017,6907602278.80998
51,bch,23-09-2017,7088114495.447137
52,bch,24-09-2017,6994661647.780072
53,bch,25-09-2017,7327463710.428796
54,bch,26-09-2017,7323414392.284869
55,bch,27-09-2017,7555278145.226215
56,bch,28-09-2017,7403328826.494383
57,bch,29-09-2017,7241260505.339096
58,bch,30-09-2017,7159084385.301975
59,bch,01-10-2017,6905598921.7071495
60,bch,02-10-2017,6947208619.826448
61,bch,03-10-2017,6730103422.867037
62,bch,04-10-2017,5975980332.129676
63,bch,05-10-2017,5914631589.894476
64,bch,06-10-2017,6049570403.115053
65,bch,07-10-2017,5984567050.524322
66,bch,08-10-2017,5683208310.687993
67,bch,09-10-2017,5262922947.275783
68,bch,10-10-2017,5407321833.537854
69,bch,11-10-2017,5248629675.056253
70,bch,12-10-2017,5199381805.409208
71,bch,13-10-2017,5355430392.700231
72,bch,14-10-2017,5320822761.563798
73,bch,15-10-2017,5247232093.31715
74,bch,16-10-2017,5202198085.479585
75,bch,17-10-2017,5973733074.588717
76,bch,18-10-2017,5678302752.1280775
77,bch,19-10-2017,5551069920.428112
78,bch,20-10-2017,5447701281.260378
79,bch,21-10-2017,5452612421.327298
80,bch,22-10-2017,5554971150.556531
81,bch,23-10-2017,5349434323.383229
82,bch,24-10-2017,5489858113.594552
83,bch,25-10-2017,5598013939.158387
84,bch,26-10-2017,5647889529.742311
85,bch,27-10-2017,6195082377.169068
86,bch,28-10-2017,7139597010.103012
87,bch,29-10-2017,7428069384.40266
88,bch,30-10-2017,7514543586.756622
89,bch,31-10-2017,7369177798.350902
90,bch,01-11-2017,8899248423.588371
91,bch,02-11-2017,9987174460.648136
92,bch,03-11-2017,10835342233.862698
93,bch,04-11-2017,10405593525.502275
94,bch,05-11-2017,10547639842.391447
95,bch,06-11-2017,10149094829.50816
96,bch,07-11-2017,10350398001.63238
97,bch,08-11-2017,10425682152.86713
98,bch,09-11-2017,11116397032.299131
99,bch,10-11-2017,16956222888.831112
100,bch,11-11-2017,22938240484.08874
101,bch,12-11-2017,25857441244.11848
102,bch,13-11-2017,22916241920.41545
103,bch,14-11-2017,21590511460.7507
104,bch,15-11-2017,20558967800.6606
105,bch,16-11-2017,15356796372.6151
106,bch,17-11-2017,19630218347.2689
107,bch,18-11-2017,21000826677.133
108,bch,19-11-2017,19686451620.3406
109,bch,20-11-2017,20645576621.6771
110,bch,21-11-2017,19803401716.0661
111,bch,22-11-2017,22007630090.1828
112,bch,23-11-2017,27720436329.8191
113,bch,24-11-2017,27998017456.1505
114,bch,25-11-2017,26644809146.9178
115,bch,26-11-2017,28646870924.0894
116,bch,27-11-2017,27593174486.3333
117,bch,28-11-2017,26493004991.5011
118,bch,29-11-2017,22652616637.8053
119,bch,30-11-2017,23912554323.1234
120,bch,01-12-2017,24776544227.7286
121,bch,02-12-2017,24563471527.3649
122,bch,03-12-2017,26281697981.1986
123,bch,04-12-2017,26541047717.4034
124,bch,05-12-2017,25892581640.5404
125,bch,06-12-2017,22980923516.5276
126,bch,07-12-2017,23919456419.7541
127,bch,08-12-2017,25257266696.8053
128,bch,09-12-2017,24409338814.4923
129,bch,10-12-2017,22726443743.8086
130,bch,11-12-2017,24217457359.3759
131,bch,12-12-2017,27245100747.5019
132,bch,13-12-2017,27381796944.7294
133,bch,14-12-2017,33215178739.5927
134,bch,15-12-2017,30991594759.6064
135,bch,16-12-2017,30623015766.2223
136,bch,17-12-2017,31643003054.3084
137,bch,18-12-2017,37239269024.4706
138,bch,19-12-2017,48192452494.307
139,bch,20-12-2017,63855944426.567
140,bch,21-12-2017,53880360924.9545
141,bch,22-12-2017,43172669761.9297
142,bch,23-12-2017,52303973608.4054
143,bch,24-12-2017,53267697453.733
144,bch,25-12-2017,47934682638.5377
145,bch,26-12-2017,51882670194.8023
146,bch,27-12-2017,48160757429.975
147,bch,28-12-2017,44042900980.8249
