,symbol,date,mcap_usd
0,bnb,17-09-2017,15404129.090981247
1,bnb,18-09-2017,17349123.907271635
2,bnb,19-09-2017,16833419.05826789
3,bnb,20-09-2017,16662792.485643603
4,bnb,21-09-2017,9581702.729678905
5,bnb,22-09-2017,9421298.085257275
6,bnb,23-09-2017,8828963.159130229
7,bnb,24-09-2017,8545453.920539133
8,bnb,25-09-2017,10250635.359918352
9,bnb,26-09-2017,8965780.221748918
10,bnb,27-09-2017,11505513.150836991
11,bnb,28-09-2017,13955236.709152265
12,bnb,29-09-2017,13217328.787209408
13,bnb,30-09-2017,17191164.68013488
14,bnb,01-10-2017,10116815.717399877
15,bnb,02-10-2017,10787364.049011648
16,bnb,03-10-2017,12443238.401115727
17,bnb,04-10-2017,12880576.98534014
18,bnb,05-10-2017,13059917.950937042
19,bnb,06-10-2017,13564347.38726733
20,bnb,07-10-2017,12937532.581472054
21,bnb,08-10-2017,12993885.109848468
22,bnb,09-10-2017,0.0
23,bnb,10-10-2017,14007954.967446368
24,bnb,11-10-2017,21645282.378830932
25,bnb,12-10-2017,23970960.381587386
26,bnb,13-10-2017,22988972.432827994
27,bnb,14-10-2017,11216452.03777135
28,bnb,15-10-2017,10973221.368088957
29,bnb,16-10-2017,18386163.398446437
30,bnb,17-10-2017,10929078.576844648
31,bnb,18-10-2017,10849999.581293626
32,bnb,19-10-2017,3981769.7187992255
33,bnb,20-10-2017,10014036.879397638
34,bnb,21-10-2017,9754528.347499501
35,bnb,22-10-2017,4357149.810097096
36,bnb,23-10-2017,5907118.82542005
37,bnb,24-10-2017,0.0
38,bnb,25-10-2017,8614152.729896264
39,bnb,26-10-2017,4549361.144736407
40,bnb,27-10-2017,4626323.18742883
41,bnb,28-10-2017,4628094.609923487
42,bnb,29-10-2017,4888738.900007344
43,bnb,30-10-2017,128621027.051878
44,bnb,31-10-2017,127642112.83486268
45,bnb,01-11-2017,124362891.80009219
46,bnb,02-11-2017,128415994.1310528
47,bnb,03-11-2017,145324589.61855084
48,bnb,04-11-2017,160991265.41234583
49,bnb,05-11-2017,152178506.46334484
50,bnb,06-11-2017,158948749.47016165
51,bnb,07-11-2017,179475107.11354542
52,bnb,08-11-2017,201365016.4572739
53,bnb,09-11-2017,201460232.20321235
54,bnb,10-11-2017,178919972.00425422
55,bnb,11-11-2017,167488453.06212497
56,bnb,12-11-2017,150991373.7338803
57,bnb,13-11-2017,165744855.11906666
58,bnb,14-11-2017,156686364.647931
59,bnb,15-11-2017,150742563.641147
60,bnb,16-11-2017,157996419.777573
61,bnb,17-11-2017,149961271.382931
62,bnb,18-11-2017,165591759.101192
63,bnb,19-11-2017,158550630.577414
64,bnb,20-11-2017,160472834.989452
65,bnb,21-11-2017,155622212.354081
66,bnb,22-11-2017,159396955.930594
67,bnb,23-11-2017,154461164.409639
68,bnb,24-11-2017,167434757.921205
69,bnb,25-11-2017,183230814.759749
70,bnb,26-11-2017,182503043.3614
71,bnb,27-11-2017,195050034.564593
72,bnb,28-11-2017,196928662.860015
73,bnb,29-11-2017,177042598.100423
74,bnb,30-11-2017,198350010.167143
75,bnb,01-12-2017,207284814.077617
76,bnb,02-12-2017,209800144.60457
77,bnb,03-12-2017,224059470.79661
78,bnb,04-12-2017,254913860.512531
79,bnb,05-12-2017,263124719.35299
80,bnb,06-12-2017,232422532.202719
81,bnb,07-12-2017,297086617.267054
82,bnb,08-12-2017,292293248.433827
83,bnb,09-12-2017,264491465.058563
84,bnb,10-12-2017,254681413.05008
85,bnb,11-12-2017,275491318.996752
86,bnb,12-12-2017,267426821.367015
87,bnb,13-12-2017,279049549.830425
88,bnb,14-12-2017,316546825.081114
89,bnb,15-12-2017,400085905.973992
90,bnb,16-12-2017,463748632.750434
91,bnb,17-12-2017,590889258.862828
92,bnb,18-12-2017,558733495.454083
93,bnb,19-12-2017,588418049.116838
94,bnb,20-12-2017,528971427.95703
95,bnb,21-12-2017,539885696.300886
96,bnb,22-12-2017,448300384.032448
97,bnb,23-12-2017,507266057.374528
98,bnb,24-12-2017,548348055.456675
99,bnb,25-12-2017,668070648.359587
100,bnb,26-12-2017,940817663.510205
101,bnb,27-12-2017,1037172560.2799
102,bnb,28-12-2017,975556559.225629
103,bnb,29-12-2017,903464194.87309
104,bnb,30-12-2017,827396149.317312
105,bnb,31-12-2017,911813027.984858
106,bnb,01-01-2018,874105359.852892
107,bnb,02-01-2018,900076194.687614
108,bnb,03-01-2018,978884395.4781892
109,bnb,04-01-2018,958035469.6241399
110,bnb,05-01-2018,1632594637.0102818
111,bnb,06-01-2018,2412961754.853586
112,bnb,07-01-2018,1915189105.7604437
113,bnb,08-01-2018,1902371869.5278609
114,bnb,09-01-2018,1879169097.2556992
115,bnb,10-01-2018,1789590223.1985753
116,bnb,11-01-2018,2189206234.4124312
117,bnb,12-01-2018,2367912064.874871
118,bnb,13-01-2018,2333263356.7785487
119,bnb,14-01-2018,2177705027.9546623
120,bnb,15-01-2018,2057155522.3669717
121,bnb,16-01-2018,1413107013.58754
122,bnb,17-01-2018,1444495360.38063
123,bnb,18-01-2018,1462762531.475935
124,bnb,19-01-2018,1522732952.2323556
125,bnb,20-01-2018,1665658318.7076287
126,bnb,21-01-2018,1425964553.6755204
127,bnb,22-01-2018,1305341980.5893002
128,bnb,23-01-2018,1303567211.9884305
129,bnb,24-01-2018,1342196586.0524025
130,bnb,25-01-2018,1311070407.4275484
131,bnb,26-01-2018,1294730529.4828486
132,bnb,27-01-2018,1320653674.9115036
133,bnb,28-01-2018,1337612314.2297964
134,bnb,29-01-2018,1258893895.2781518
135,bnb,30-01-2018,1260494550.5401368
136,bnb,31-01-2018,1108659359.8091078
137,bnb,01-02-2018,1095182397.9724817
138,bnb,02-02-2018,923399330.3807563
139,bnb,03-02-2018,964458672.3205072
140,bnb,04-02-2018,941362189.9188626
141,bnb,05-02-2018,843131739.7213892
142,bnb,06-02-2018,664732494.835441
143,bnb,07-02-2018,829521412.7396224
144,bnb,08-02-2018,802950618.2799759
145,bnb,09-02-2018,453207207.7685754
146,bnb,10-02-2018,965101118.8539238
147,bnb,11-02-2018,918402614.6428596
148,bnb,12-02-2018,874409264.6580511
149,bnb,13-02-2018,918737354.8189096
150,bnb,14-02-2018,883490763.9808149
151,bnb,15-02-2018,1029525693.5316389
152,bnb,16-02-2018,1076489477.8748689
153,bnb,17-02-2018,1080320895.2741618
154,bnb,18-02-2018,1157270605.9068499
155,bnb,19-02-2018,1069091210.3704896
156,bnb,20-02-2018,1089902373.6894462
157,bnb,21-02-2018,1028970641.2958479
158,bnb,22-02-2018,886046400.7141033
159,bnb,23-02-2018,890234138.7529975
160,bnb,24-02-2018,966872786.922621
161,bnb,25-02-2018,906379589.0863997
162,bnb,26-02-2018,933460491.0498061
163,bnb,27-02-2018,973098922.9333797
164,bnb,28-02-2018,1059577325.4479493
165,bnb,01-03-2018,1034409666.1921847
166,bnb,02-03-2018,1031295680.5688702
167,bnb,03-03-2018,1016049841.7788566
168,bnb,04-03-2018,1003123077.4290371
169,bnb,05-03-2018,1000958710.5039328
