,symbol,date,mcap_usd
0,btc,02-01-2019,66188448932.14009
1,btc,03-01-2019,67643304990.47443
2,btc,04-01-2019,65922288582.92172
3,btc,05-01-2019,66650769533.12984
4,btc,06-01-2019,66070973627.255455
5,btc,07-01-2019,70084169300.15211
6,btc,08-01-2019,69602133073.71902
7,btc,09-01-2019,69418693910.45465
8,btc,10-01-2019,69609283899.19995
9,btc,11-01-2019,63326376681.34885
10,btc,12-01-2019,63121578243.94881
11,btc,13-01-2019,62924488425.99548
12,btc,14-01-2019,61050348901.5798
13,btc,15-01-2019,63758350560.63251
14,btc,16-01-2019,62348810149.49811
15,btc,17-01-2019,62969304894.27945
16,btc,18-01-2019,63320099663.395294
17,btc,19-01-2019,62898826371.85565
18,btc,20-01-2019,64269861567.8863
19,btc,21-01-2019,61969431896.71978
20,btc,22-01-2019,61784404483.04622
21,btc,23-01-2019,62482350133.95662
22,btc,24-01-2019,62216525710.040085
23,btc,25-01-2019,62397665388.19675
24,btc,26-01-2019,62386316357.47355
25,btc,27-01-2019,62374968460.904976
26,btc,28-01-2019,62192208387.693
27,btc,29-01-2019,60087154448.40433
28,btc,30-01-2019,59768195291.00078
29,btc,31-01-2019,60555372963.791016
30,btc,01-02-2019,60101226569.37371
31,btc,02-02-2019,60678990333.1717
32,btc,03-02-2019,61071179758.435844
33,btc,04-02-2019,60524138032.473946
34,btc,05-02-2019,60723961265.783615
35,btc,06-02-2019,60825168548.915
36,btc,07-02-2019,59682137962.35292
37,btc,08-02-2019,59482397752.99235
38,btc,09-02-2019,64226481382.1611
39,btc,10-02-2019,64286029202.05369
40,btc,11-02-2019,64439836442.25577
41,btc,12-02-2019,63670312531.29947
42,btc,13-02-2019,63712841387.27635
43,btc,14-02-2019,63267872020.65663
44,btc,15-02-2019,62991824523.89914
45,btc,16-02-2019,63165603231.85129
46,btc,17-02-2019,63547140519.07759
47,btc,18-02-2019,64383522064.40136
48,btc,19-02-2019,68147457622.522125
49,btc,20-02-2019,68719418872.04398
50,btc,21-02-2019,69790459105.50142
51,btc,22-02-2019,69059468752.51183
52,btc,23-02-2019,69748877117.19371
53,btc,24-02-2019,72266544791.73584
54,btc,25-02-2019,66108588220.39571
55,btc,26-02-2019,67154603799.94677
56,btc,27-02-2019,66890485485.37128
57,btc,28-02-2019,67155912259.18905
58,btc,01-03-2019,67016664287.2375
59,btc,02-03-2019,67085713233.78275
60,btc,03-03-2019,67101767698.901596
