,symbol,date,mcap_usd
0,eth,08-08-2015,80339475.0
1,eth,09-08-2015,0.0
2,eth,10-08-2015,41556309.21112176
3,eth,11-08-2015,64539006.306272194
4,eth,12-08-2015,76013261.05415402
5,eth,13-08-2015,110468836.22388984
6,eth,14-08-2015,110555313.26025319
7,eth,15-08-2015,101215246.3781064
8,eth,16-08-2015,89480939.24025029
9,eth,17-08-2015,87313387.94547918
10,eth,18-08-2015,92957858.0620156
11,eth,19-08-2015,90920695.86547753
12,eth,20-08-2015,107749185.84108424
13,eth,21-08-2015,102131022.8278611
14,eth,22-08-2015,100308763.78229792
15,eth,23-08-2015,98488001.44464436
16,eth,24-08-2015,90625948.31797116
17,eth,25-08-2015,84423109.08066371
18,eth,26-08-2015,81454879.46968535
19,eth,27-08-2015,82504022.8230964
20,eth,28-08-2015,86549490.63266213
21,eth,29-08-2015,85515599.87435573
22,eth,30-08-2015,96321049.6917207
23,eth,31-08-2015,98608290.53954794
24,eth,01-09-2015,98446826.49425755
25,eth,02-09-2015,93224371.25915022
26,eth,03-09-2015,92075482.63297981
27,eth,04-09-2015,92596631.55333723
28,eth,05-09-2015,97402782.61913483
29,eth,06-09-2015,94801706.70501994
30,eth,07-09-2015,91718481.31789045
31,eth,08-09-2015,90274690.39947063
32,eth,09-09-2015,88150718.66876175
33,eth,10-09-2015,85308945.82326
34,eth,11-09-2015,71394234.94958797
35,eth,12-09-2015,75931677.01254052
36,eth,13-09-2015,68673818.80135794
37,eth,14-09-2015,63965969.21105757
38,eth,15-09-2015,68951445.2301325
39,eth,16-09-2015,66147947.57992838
40,eth,17-09-2015,64693831.07862287
41,eth,18-09-2015,62003275.12077277
42,eth,19-09-2015,64666306.22983543
43,eth,20-09-2015,68666556.12460059
44,eth,21-09-2015,66105164.81214318
45,eth,22-09-2015,65835322.779180124
46,eth,23-09-2015,65633959.754653834
47,eth,24-09-2015,59927327.71396765
48,eth,25-09-2015,54400658.247102216
49,eth,26-09-2015,57158415.438244216
50,eth,27-09-2015,53028193.82255717
51,eth,28-09-2015,42874816.973063745
52,eth,29-09-2015,48389042.902712226
53,eth,30-09-2015,54065419.507539704
54,eth,01-10-2015,50481342.528862044
55,eth,02-10-2015,49792779.28891763
56,eth,03-10-2015,50638684.01549935
57,eth,04-10-2015,49187272.3502002
58,eth,05-10-2015,46307572.65224096
59,eth,06-10-2015,47605896.39364778
60,eth,07-10-2015,44984157.19104538
61,eth,08-10-2015,45977519.79859987
62,eth,09-10-2015,47989631.2526218
63,eth,10-10-2015,46490996.55001768
64,eth,11-10-2015,47026115.24213034
65,eth,12-10-2015,46416611.842303865
66,eth,13-10-2015,44485499.29942276
67,eth,14-10-2015,38272635.02078042
68,eth,15-10-2015,41527413.54435173
69,eth,16-10-2015,39443831.31743269
70,eth,17-10-2015,40632190.61699083
71,eth,18-10-2015,38382124.41691709
72,eth,19-10-2015,36070935.31062339
73,eth,20-10-2015,32076052.631905656
74,eth,21-10-2015,32590298.008333907
75,eth,22-10-2015,41918540.78268511
76,eth,23-10-2015,40100107.0136459
77,eth,24-10-2015,42179070.75754259
78,eth,25-10-2015,46895926.257060364
79,eth,26-10-2015,55226993.78944921
80,eth,27-10-2015,63451496.574236006
81,eth,28-10-2015,75057962.81264551
82,eth,29-10-2015,86478981.5524642
83,eth,30-10-2015,77447839.42741764
84,eth,31-10-2015,67453442.47710526
85,eth,01-11-2015,78742733.24541084
86,eth,02-11-2015,71066352.05814125
87,eth,03-11-2015,74613449.56251672
88,eth,04-11-2015,67152505.55125615
89,eth,05-11-2015,67532501.09696001
90,eth,06-11-2015,67767390.10082617
91,eth,07-11-2015,68761146.27837914
92,eth,08-11-2015,76839299.32470989
93,eth,09-11-2015,74277547.07634276
94,eth,10-11-2015,69753492.14382021
95,eth,11-11-2015,58873875.70678452
96,eth,12-11-2015,67254888.20415637
97,eth,13-11-2015,67527257.40972713
98,eth,14-11-2015,66066714.4889687
99,eth,15-11-2015,68078325.7946219
100,eth,16-11-2015,69812830.40735959
101,eth,17-11-2015,74440734.3005621
102,eth,18-11-2015,74402718.74542972
103,eth,19-11-2015,71212297.76056388
104,eth,20-11-2015,69388368.57982641
105,eth,21-11-2015,72914368.80252853
106,eth,22-11-2015,72276339.25126061
107,eth,23-11-2015,70839197.81949022
108,eth,24-11-2015,67424299.39769948
109,eth,25-11-2015,65072847.332706206
110,eth,26-11-2015,67132055.60740013
111,eth,27-11-2015,65341845.392888874
112,eth,28-11-2015,68868768.28657502
113,eth,29-11-2015,65463342.96555324
114,eth,30-11-2015,65624853.97047546
115,eth,01-12-2015,65752486.02943543
116,eth,02-12-2015,61844779.03171155
117,eth,03-12-2015,62018808.085017644
118,eth,04-12-2015,63094325.07829986
119,eth,05-12-2015,65056337.64166404
120,eth,06-12-2015,62850264.41510667
121,eth,07-12-2015,60292476.61320164
122,eth,08-12-2015,61675859.110314034
123,eth,09-12-2015,59661067.18085799
124,eth,10-12-2015,63872552.27588074
125,eth,11-12-2015,69119370.62718369
126,eth,12-12-2015,73250296.07272834
127,eth,13-12-2015,72302484.28350292
128,eth,14-12-2015,75133022.39506158
129,eth,15-12-2015,76787012.60189861
130,eth,16-12-2015,74686005.22814946
131,eth,17-12-2015,71033582.40629953
132,eth,18-12-2015,69616990.9878865
133,eth,19-12-2015,68767429.85047308
134,eth,20-12-2015,68305705.24538197
135,eth,21-12-2015,67842615.39188164
136,eth,22-12-2015,66514758.19337365
137,eth,23-12-2015,65674405.654046126
138,eth,24-12-2015,65226512.003279686
139,eth,25-12-2015,65957619.83793369
140,eth,26-12-2015,64637552.400460914
141,eth,27-12-2015,65104495.77797423
142,eth,28-12-2015,63858382.55360898
143,eth,29-12-2015,65951485.1558242
144,eth,30-12-2015,68315404.54669571
145,eth,31-12-2015,71083912.69961053
146,eth,01-01-2016,71849843.66511223
147,eth,02-01-2016,71252107.9687766
148,eth,03-01-2016,73864483.22222728
149,eth,04-01-2016,72909192.00505088
150,eth,05-01-2016,72462361.87937805
151,eth,06-01-2016,73650960.93328463
152,eth,07-01-2016,72931723.30621576
153,eth,08-01-2016,75767382.4398899
154,eth,09-01-2016,78016544.33428131
155,eth,10-01-2016,77676004.65241879
156,eth,11-01-2016,81416101.6377075
157,eth,12-01-2016,88958959.89936547
158,eth,13-01-2016,86108971.48293594
159,eth,14-01-2016,88257219.96322113
160,eth,15-01-2016,92329493.82516772
161,eth,16-01-2016,92765190.35300171
162,eth,17-01-2016,100866229.13386133
163,eth,18-01-2016,106770204.99600992
164,eth,19-01-2016,105177492.60810892
165,eth,20-01-2016,119608403.90910526
166,eth,21-01-2016,118064297.75775222
167,eth,22-01-2016,112494896.69290045
168,eth,23-01-2016,129390552.65124127
169,eth,24-01-2016,163090024.6945184
170,eth,25-01-2016,189898537.77611715
171,eth,26-01-2016,159744115.0673894
172,eth,27-01-2016,182534589.0343229
173,eth,28-01-2016,193030853.2041578
174,eth,29-01-2016,190524391.83507282
175,eth,30-01-2016,186862759.72151402
176,eth,31-01-2016,176275775.71473008
177,eth,01-02-2016,170434539.30474818
178,eth,02-02-2016,184396131.5986807
