,symbol,date,mcap_usd
0,ldo,06-01-2021,5193325.774885025
1,ldo,07-01-2021,5667691.609360571
2,ldo,08-01-2021,4586996.157827637
3,ldo,09-01-2021,4803312.257938731
4,ldo,10-01-2021,2728719.816341152
5,ldo,11-01-2021,3216775.302110387
6,ldo,12-01-2021,2865817.823184506
7,ldo,13-01-2021,2659361.2625465486
8,ldo,14-01-2021,3367904.432519941
9,ldo,15-01-2021,3418068.7848715847
10,ldo,16-01-2021,3061676.4003600613
11,ldo,17-01-2021,2855813.41881406
12,ldo,18-01-2021,6889235.632986919
13,ldo,19-01-2021,6954148.213200837
14,ldo,20-01-2021,7679713.0220706
15,ldo,21-01-2021,6914900.994510031
16,ldo,22-01-2021,5492554.314058194
17,ldo,23-01-2021,5591096.061756206
18,ldo,24-01-2021,6848073.871231097
19,ldo,25-01-2021,12162866.209006058
20,ldo,26-01-2021,9344765.823503695
21,ldo,27-01-2021,16672800.302340701
22,ldo,28-01-2021,13629666.736110166
23,ldo,29-01-2021,12315638.104627768
24,ldo,30-01-2021,12688985.860507652
25,ldo,31-01-2021,12274278.534617355
26,ldo,01-02-2021,17579716.31118049
27,ldo,02-02-2021,26355834.941170327
28,ldo,03-02-2021,25648561.900813278
29,ldo,04-02-2021,27257705.691575833
30,ldo,05-02-2021,24113035.00269735
31,ldo,06-02-2021,26127684.173541658
32,ldo,07-02-2021,23558542.728401292
33,ldo,08-02-2021,22346925.648477018
34,ldo,09-02-2021,23713914.70721722
35,ldo,10-02-2021,22316138.56934493
36,ldo,11-02-2021,19454759.24405055
37,ldo,12-02-2021,31277276.870073788
38,ldo,13-02-2021,32401022.57829829
39,ldo,14-02-2021,34112061.05625659
40,ldo,15-02-2021,34390632.03513136
41,ldo,16-02-2021,35684874.82995737
42,ldo,17-02-2021,36809712.63309075
43,ldo,18-02-2021,30420169.28026765
44,ldo,19-02-2021,29408699.107612494
45,ldo,20-02-2021,24133677.525314726
46,ldo,21-02-2021,21329626.056832828
47,ldo,22-02-2021,21487987.109922364
48,ldo,23-02-2021,19677117.786584157
49,ldo,24-02-2021,15103003.214490985
50,ldo,25-02-2021,14604686.401634237
