,symbol,date,mcap_usd
0,matic,28-04-2019,11038517.246430349
1,matic,29-04-2019,9288212.331070656
2,matic,30-04-2019,7477597.705333404
3,matic,01-05-2019,9332879.031491354
4,matic,02-05-2019,9280224.872988395
5,matic,03-05-2019,8891333.30897684
6,matic,04-05-2019,8955629.303512754
7,matic,05-05-2019,8350998.167417221
8,matic,06-05-2019,7910188.375280299
9,matic,07-05-2019,8147697.346860495
10,matic,08-05-2019,7512418.500704955
11,matic,09-05-2019,7116084.668899641
12,matic,10-05-2019,6796234.573244426
13,matic,11-05-2019,8118766.838888749
14,matic,12-05-2019,10168666.005191118
15,matic,13-05-2019,11260147.515432397
16,matic,14-05-2019,18947310.4557418
17,matic,15-05-2019,16665799.202633057
18,matic,16-05-2019,20738305.297899127
19,matic,17-05-2019,23552487.138345573
20,matic,18-05-2019,31299208.07861396
21,matic,19-05-2019,26678408.34676415
22,matic,20-05-2019,41681357.74350744
23,matic,21-05-2019,66604903.12068474
24,matic,22-05-2019,62459642.03780136
25,matic,23-05-2019,46878984.71453992
26,matic,24-05-2019,57629891.399392046
27,matic,25-05-2019,54996274.327640206
28,matic,26-05-2019,54013343.7537088
29,matic,27-05-2019,52600982.4106417
30,matic,28-05-2019,48249663.5228608
31,matic,29-05-2019,50823040.71395896
32,matic,30-05-2019,47821537.80628897
33,matic,31-05-2019,42600957.27020902
34,matic,01-06-2019,49723944.581620224
35,matic,02-06-2019,46228763.96926077
36,matic,03-06-2019,43550002.73463604
37,matic,04-06-2019,42881156.96830865
38,matic,05-06-2019,45295451.67379857
39,matic,06-06-2019,49638985.77589161
40,matic,07-06-2019,50499381.98705505
41,matic,08-06-2019,52893272.32213757
42,matic,09-06-2019,56724814.5970296
43,matic,10-06-2019,55710274.59470173
44,matic,11-06-2019,59107812.90467676
45,matic,12-06-2019,51420080.14114724
46,matic,13-06-2019,51535963.68612039
47,matic,14-06-2019,49975244.82925779
48,matic,15-06-2019,45637339.24130931
49,matic,16-06-2019,48117850.638910025
50,matic,17-06-2019,50240871.9315466
51,matic,18-06-2019,46777411.14854612
52,matic,19-06-2019,48709215.9153947
53,matic,20-06-2019,49859833.7031693
54,matic,21-06-2019,48851915.16555594
55,matic,22-06-2019,45743869.91399176
56,matic,23-06-2019,47416092.08409725
57,matic,24-06-2019,45620125.311411686
58,matic,25-06-2019,44753023.924934536
59,matic,26-06-2019,41373470.27392949
60,matic,27-06-2019,38734904.11679759
61,matic,28-06-2019,42164738.77447959
62,matic,29-06-2019,41898477.22571068
63,matic,30-06-2019,51922816.68145897
64,matic,01-07-2019,48567202.961990826
65,matic,02-07-2019,48492349.383932285
66,matic,03-07-2019,46885776.08767703
67,matic,04-07-2019,41923684.088597976
68,matic,05-07-2019,39593808.55140861
69,matic,06-07-2019,39966864.42293798
70,matic,07-07-2019,38514627.58036139
71,matic,08-07-2019,38417837.92950353
72,matic,09-07-2019,36185159.20980829
73,matic,10-07-2019,34907619.822241776
74,matic,11-07-2019,35261877.19657901
75,matic,12-07-2019,31441314.4911036
76,matic,13-07-2019,34237784.59946981
77,matic,14-07-2019,36146828.87760338
78,matic,15-07-2019,31117634.209929463
79,matic,16-07-2019,30148521.101809222
80,matic,17-07-2019,26238465.205937084
81,matic,18-07-2019,28639861.29528767
82,matic,19-07-2019,29745100.85463476
83,matic,20-07-2019,29152034.38874216
84,matic,21-07-2019,30493646.760010928
85,matic,22-07-2019,29191825.677322306
86,matic,23-07-2019,27766875.39466431
87,matic,24-07-2019,25046830.793556567
88,matic,25-07-2019,26256529.641490635
89,matic,26-07-2019,26551219.21101608
90,matic,27-07-2019,27660069.959090654
91,matic,28-07-2019,25924344.86299979
92,matic,29-07-2019,25550071.09315624
93,matic,30-07-2019,24812612.490064576
94,matic,31-07-2019,25015174.163468745
95,matic,01-08-2019,24649793.515025653
96,matic,02-08-2019,23077095.52147368
97,matic,03-08-2019,24092974.523641985
98,matic,04-08-2019,23115758.483684737
99,matic,05-08-2019,22212546.04447325
100,matic,06-08-2019,25449415.36802988
101,matic,07-08-2019,33082693.42046307
102,matic,08-08-2019,36553330.07298043
103,matic,09-08-2019,31019101.42443758
104,matic,10-08-2019,26641234.709266223
105,matic,11-08-2019,32812953.39407727
106,matic,12-08-2019,35762186.3855206
107,matic,13-08-2019,37135487.98699559
108,matic,14-08-2019,35917458.803251386
109,matic,15-08-2019,32101938.197544865
110,matic,16-08-2019,31730119.04465456
111,matic,17-08-2019,28958170.21938412
112,matic,18-08-2019,30667664.06614608
113,matic,19-08-2019,30313833.71330196
114,matic,20-08-2019,33642650.01009578
115,matic,21-08-2019,34246470.686036184
116,matic,22-08-2019,33538253.148506485
117,matic,23-08-2019,36706414.05630431
118,matic,24-08-2019,33651223.31612201
119,matic,25-08-2019,32344410.06923249
120,matic,26-08-2019,29632317.8400942
121,matic,27-08-2019,30283095.00069205
122,matic,28-08-2019,30890295.54308788
123,matic,29-08-2019,28044862.533410348
124,matic,30-08-2019,25424797.924355265
125,matic,31-08-2019,26906600.66797756
126,matic,01-09-2019,25657991.281462643
127,matic,02-09-2019,26523188.303910296
128,matic,03-09-2019,29561673.31319711
129,matic,04-09-2019,31153185.218758844
130,matic,05-09-2019,30936056.823457424
131,matic,06-09-2019,32604127.367152005
132,matic,07-09-2019,29853630.10107608
133,matic,08-09-2019,30049379.887391888
134,matic,09-09-2019,30293091.01111858
135,matic,10-09-2019,30968735.173803143
136,matic,11-09-2019,29631104.1885234
137,matic,12-09-2019,28773150.35686196
138,matic,13-09-2019,28281247.36017025
139,matic,14-09-2019,28393615.60136675
140,matic,15-09-2019,28725026.204846047
141,matic,16-09-2019,28108124.855697643
142,matic,17-09-2019,28214274.18803569
143,matic,18-09-2019,29489405.005474266
144,matic,19-09-2019,31328841.67405112
145,matic,20-09-2019,30052893.14686352
146,matic,21-09-2019,29744382.26282013
147,matic,22-09-2019,29411612.648096804
148,matic,23-09-2019,27052540.346957386
149,matic,24-09-2019,26967501.14087807
150,matic,25-09-2019,24911381.75947428
151,matic,26-09-2019,24145546.092095383
152,matic,27-09-2019,23307889.2200778
153,matic,28-09-2019,23755601.728857387
154,matic,29-09-2019,24431713.779271595
155,matic,30-09-2019,23897300.75635452
156,matic,01-10-2019,23703593.30660039
157,matic,02-10-2019,23741134.927408595
158,matic,03-10-2019,23741134.927408595
159,matic,04-10-2019,23382568.62470535
160,matic,05-10-2019,23347983.93133891
161,matic,06-10-2019,23366450.364832003
162,matic,07-10-2019,22596881.869579107
163,matic,08-10-2019,23934200.518902466
164,matic,09-10-2019,27082557.66361709
165,matic,10-10-2019,31445833.531710453
166,matic,11-10-2019,35424535.96603727
167,matic,12-10-2019,35217767.4317386
168,matic,13-10-2019,34301394.752817206
169,matic,14-10-2019,32835902.628268503
170,matic,15-10-2019,33432953.564620264
171,matic,16-10-2019,31483215.80462497
172,matic,17-10-2019,30555707.72736601
173,matic,18-10-2019,31324266.810866565
174,matic,19-10-2019,29276470.57002541
175,matic,20-10-2019,30337521.82875495
176,matic,21-10-2019,30337924.70710583
177,matic,22-10-2019,33037554.733709607
178,matic,23-10-2019,32156352.162030675
179,matic,24-10-2019,29725524.294027667
180,matic,25-10-2019,30780732.15178917
181,matic,26-10-2019,32650750.170596555
182,matic,27-10-2019,31756643.735934265
183,matic,28-10-2019,32922438.04861852
184,matic,29-10-2019,33194870.29037544
185,matic,30-10-2019,33513836.403228182
186,matic,31-10-2019,31980389.64421996
187,matic,01-11-2019,32342119.84315816
188,matic,02-11-2019,32796812.31339976
189,matic,03-11-2019,32319801.18137385
190,matic,04-11-2019,32214064.32265862
191,matic,05-11-2019,34109087.53677613
192,matic,06-11-2019,35055986.470498376
193,matic,07-11-2019,34397567.58422089
194,matic,08-11-2019,36016058.01261441
195,matic,09-11-2019,34357442.129425675
196,matic,10-11-2019,35639283.17649106
197,matic,11-11-2019,37228214.5910354
198,matic,12-11-2019,36684607.45152054
199,matic,13-11-2019,35471956.85391653
200,matic,14-11-2019,35669173.56135132
201,matic,15-11-2019,34268420.617372364
