,symbol,date,mcap_usd
0,op,01-06-2022,0.0
1,op,02-06-2022,266010907.7117197
2,op,03-06-2022,329931039.59743464
3,op,04-06-2022,296555109.9165962
4,op,05-06-2022,296884152.0696716
5,op,06-06-2022,254918900.8146965
6,op,07-06-2022,285576157.7216218
7,op,08-06-2022,240640711.0406964
8,op,09-06-2022,156383270.00552315
9,op,10-06-2022,178371839.25224426
10,op,11-06-2022,186882631.11897224
11,op,12-06-2022,165103916.0124497
12,op,13-06-2022,141482056.70605773
13,op,14-06-2022,113793832.2097789
14,op,15-06-2022,122410692.3595403
15,op,16-06-2022,126285430.4673998
16,op,17-06-2022,105384491.65804592
17,op,18-06-2022,111408234.9990274
18,op,19-06-2022,95583222.17757276
19,op,20-06-2022,108106110.80337994
20,op,21-06-2022,108565062.45068626
21,op,22-06-2022,110389172.39909056
22,op,23-06-2022,99730368.3281958
23,op,24-06-2022,112945890.06614669
24,op,25-06-2022,128066431.56682974
25,op,26-06-2022,125423430.7476726
26,op,27-06-2022,120292887.8082702
27,op,28-06-2022,115270678.07668205
28,op,29-06-2022,112591508.46552896
29,op,30-06-2022,124949781.0156164
30,op,01-07-2022,114874740.4625257
31,op,02-07-2022,115284906.19600956
32,op,03-07-2022,112957255.35756114
33,op,04-07-2022,111878871.73716196
34,op,05-07-2022,120987861.5215696
35,op,06-07-2022,112225800.03338616
36,op,07-07-2022,117664306.77473314
37,op,08-07-2022,123577466.53798796
38,op,09-07-2022,124593649.71292956
39,op,10-07-2022,123605314.83825052
40,op,11-07-2022,115228525.0833306
41,op,12-07-2022,103658885.98513924
42,op,13-07-2022,97449494.50706673
43,op,14-07-2022,100930744.42335904
44,op,15-07-2022,106151307.61786084
45,op,16-07-2022,103408280.81160308
46,op,17-07-2022,111986420.1917606
47,op,18-07-2022,125206493.24803407
48,op,19-07-2022,174440338.44211775
49,op,20-07-2022,153868323.76047453
50,op,21-07-2022,148764416.40181664
51,op,22-07-2022,164639607.2613797
52,op,23-07-2022,178652419.6184686
53,op,24-07-2022,201280127.0028966
54,op,25-07-2022,199367934.93292463
55,op,26-07-2022,175118716.19409028
56,op,27-07-2022,175970834.1544934
57,op,28-07-2022,225057775.604956
58,op,29-07-2022,307776165.06049144
59,op,30-07-2022,395168303.656718
60,op,31-07-2022,380606167.1228829
61,op,01-08-2022,342832086.0305156
62,op,02-08-2022,322220604.2170982
63,op,03-08-2022,347461603.1075659
64,op,04-08-2022,433098716.7025738
65,op,05-08-2022,410701776.36722666
66,op,06-08-2022,414045208.307852
67,op,07-08-2022,412802764.2541421
68,op,08-08-2022,410959670.3753754
69,op,09-08-2022,407924935.4795138
70,op,10-08-2022,349970171.77188605
71,op,11-08-2022,334978937.6705847
72,op,12-08-2022,336603642.7421796
73,op,13-08-2022,349226003.3658056
74,op,14-08-2022,330371817.7696716
75,op,15-08-2022,309614061.87044406
76,op,16-08-2022,333082077.6299767
77,op,17-08-2022,311844383.3336597
78,op,18-08-2022,283248882.2654214
79,op,19-08-2022,258518771.9510214
80,op,20-08-2022,261877423.3812356
81,op,21-08-2022,242531432.82580447
82,op,22-08-2022,254178267.1137656
83,op,23-08-2022,248155828.6717906
84,op,24-08-2022,285592435.9454324
85,op,25-08-2022,263118757.95264128
86,op,26-08-2022,253528774.49744183
87,op,27-08-2022,218330039.5797272
88,op,28-08-2022,221816068.66123185
89,op,29-08-2022,227460309.38102683
90,op,30-08-2022,252935521.7962968
91,op,31-08-2022,233380246.4993332
92,op,01-09-2022,241634485.51359537
93,op,02-09-2022,253867151.19552103
94,op,03-09-2022,264797576.7310528
95,op,04-09-2022,256483625.57632136
96,op,05-09-2022,251525530.96123865
97,op,06-09-2022,257870256.267108
98,op,07-09-2022,237905244.73692745
99,op,08-09-2022,252713134.2114844
100,op,09-09-2022,253628390.6115665
101,op,10-09-2022,302385736.538992
102,op,11-09-2022,299045328.7397037
103,op,12-09-2022,300170260.7885944
104,op,13-09-2022,270271863.80620885
105,op,14-09-2022,252821460.1334154
106,op,15-09-2022,259365005.59366536
107,op,16-09-2022,243167080.41690856
108,op,17-09-2022,236646472.582752
109,op,18-09-2022,242822155.6272175
110,op,19-09-2022,199351277.70304543
111,op,20-09-2022,205792026.3462466
112,op,21-09-2022,197966573.71241084
113,op,22-09-2022,192010182.7958185
114,op,23-09-2022,201446603.940012
115,op,24-09-2022,204241145.97663337
116,op,25-09-2022,197460616.2642946
117,op,26-09-2022,194073518.54270068
118,op,27-09-2022,197503093.7162285
119,op,28-09-2022,198006940.7472717
120,op,29-09-2022,195276584.57311407
121,op,30-09-2022,194138279.6685373
122,op,01-10-2022,195909683.9550176
123,op,02-10-2022,191896997.91244155
124,op,03-10-2022,181817309.01660404
125,op,04-10-2022,187204958.1734881
126,op,05-10-2022,187125486.87063703
127,op,06-10-2022,184742397.87363532
128,op,07-10-2022,182633052.5100955
129,op,08-10-2022,181314314.69706592
130,op,09-10-2022,179162241.74273276
131,op,10-10-2022,180920501.80856016
132,op,11-10-2022,162925288.89447397
133,op,12-10-2022,159011870.45271832
134,op,13-10-2022,160730556.8798047
135,op,14-10-2022,157924204.08343768
136,op,15-10-2022,153493806.36030936
137,op,16-10-2022,147488158.68984088
138,op,17-10-2022,149842809.30523303
139,op,18-10-2022,163645361.31100675
140,op,19-10-2022,159372388.8101661
141,op,20-10-2022,147915785.48674655
142,op,21-10-2022,144310627.21790302
143,op,22-10-2022,157788045.15437895
144,op,23-10-2022,161398143.91286862
145,op,24-10-2022,179482052.04737172
146,op,25-10-2022,181289200.8025244
147,op,26-10-2022,208808400.9465926
148,op,27-10-2022,239478036.38100928
149,op,28-10-2022,229877650.68875745
150,op,29-10-2022,248028603.21111524
151,op,30-10-2022,231471183.88215
152,op,31-10-2022,223231567.0989353
153,op,01-11-2022,223062130.4523722
154,op,02-11-2022,215056830.2080072
155,op,03-11-2022,221809733.71383616
156,op,04-11-2022,239514327.3403903
157,op,05-11-2022,287476925.6820769
158,op,06-11-2022,281096710.6840146
159,op,07-11-2022,277426703.4245308
160,op,08-11-2022,282586112.5882931
161,op,09-11-2022,208582869.83042875
162,op,10-11-2022,169005225.80889452
163,op,11-11-2022,224928695.6050264
164,op,12-11-2022,216002796.76446533
165,op,13-11-2022,196283233.821456
166,op,14-11-2022,191326456.3538294
167,op,15-11-2022,198377430.0419104
168,op,16-11-2022,199792102.0605885
169,op,17-11-2022,193232584.6138675
170,op,18-11-2022,191462967.4085472
171,op,19-11-2022,196875524.4124136
172,op,20-11-2022,199882572.26011124
173,op,21-11-2022,182274523.6225323
174,op,22-11-2022,181797847.2783281
175,op,23-11-2022,184113845.1346487
176,op,24-11-2022,200459829.005001
177,op,25-11-2022,203692105.65361
178,op,26-11-2022,198026608.60892472
179,op,27-11-2022,194800685.2470247
180,op,28-11-2022,190532419.5982832
181,op,29-11-2022,187755106.80749172
182,op,30-11-2022,191610793.33396664
183,op,01-12-2022,216703381.9318398
184,op,02-12-2022,226679726.5828457
185,op,03-12-2022,237756905.66549408
186,op,04-12-2022,224830183.85980225
187,op,05-12-2022,227419128.27705047
188,op,06-12-2022,221258799.2098308
189,op,07-12-2022,228477492.9666664
190,op,08-12-2022,219499153.3767882
191,op,09-12-2022,232527338.6209097
192,op,10-12-2022,229741174.09878227
193,op,11-12-2022,224055363.77335715
194,op,12-12-2022,218093696.5469517
195,op,13-12-2022,223464854.4078217
196,op,14-12-2022,242822525.6297979
197,op,15-12-2022,247407543.3684619
198,op,16-12-2022,228213686.0311016
199,op,17-12-2022,201509811.93304452
200,op,18-12-2022,202090808.3232272
201,op,19-12-2022,200486042.0191488
202,op,20-12-2022,190055401.3552144
203,op,21-12-2022,209713583.3701492
204,op,22-12-2022,205873749.9712833
205,op,23-12-2022,204076333.53059933
206,op,24-12-2022,205002452.90581504
207,op,25-12-2022,200252579.99812108
208,op,26-12-2022,200091306.2244639
209,op,27-12-2022,203061706.3603384
210,op,28-12-2022,201520944.25246444
211,op,29-12-2022,192426469.2830172
