,symbol,date,mcap_usd
0,pepe,19-04-2023,0.0
1,pepe,20-04-2023,103889715.05745
2,pepe,21-04-2023,129095301.72730485
3,pepe,22-04-2023,83562738.73258479
4,pepe,23-04-2023,123288886.07513855
5,pepe,24-04-2023,133898838.64543831
6,pepe,25-04-2023,126190008.33926968
7,pepe,26-04-2023,108105799.50770988
8,pepe,27-04-2023,92867729.03705756
9,pepe,28-04-2023,114833271.2802805
10,pepe,29-04-2023,139695683.63832366
11,pepe,30-04-2023,197503206.57831737
12,pepe,01-05-2023,305262025.5891942
13,pepe,02-05-2023,515729939.1527718
14,pepe,03-05-2023,474930300.6967698
15,pepe,04-05-2023,462028649.0730819
16,pepe,05-05-2023,815215089.4315486
17,pepe,06-05-2023,1542697635.3156805
18,pepe,07-05-2023,1096449364.184666
19,pepe,08-05-2023,1196280618.8264537
20,pepe,09-05-2023,809231665.013192
21,pepe,10-05-2023,849357084.0804384
22,pepe,11-05-2023,807493916.3958397
23,pepe,12-05-2023,592161335.143536
24,pepe,13-05-2023,724945215.3761889
25,pepe,14-05-2023,797979693.9554712
26,pepe,15-05-2023,757521732.6417623
27,pepe,16-05-2023,729020141.9665443
28,pepe,17-05-2023,704611673.564928
29,pepe,18-05-2023,664674331.2894682
30,pepe,19-05-2023,674242713.4825983
31,pepe,20-05-2023,646435811.0701307
32,pepe,21-05-2023,724726012.1152519
33,pepe,22-05-2023,677575768.9608785
34,pepe,23-05-2023,645055633.0514376
35,pepe,24-05-2023,676162678.7615135
36,pepe,25-05-2023,610661430.8432977
37,pepe,26-05-2023,604880018.9012996
38,pepe,27-05-2023,614286160.1028252
39,pepe,28-05-2023,640824399.9306661
40,pepe,29-05-2023,632788130.2559596
41,pepe,30-05-2023,605029874.3543324
42,pepe,31-05-2023,545316106.8473295
43,pepe,01-06-2023,533752302.7496974
44,pepe,02-06-2023,524330364.06720567
45,pepe,03-06-2023,539722853.6699535
46,pepe,04-06-2023,545200256.9739126
47,pepe,05-06-2023,522276998.13179296
48,pepe,06-06-2023,440198001.7982267
49,pepe,07-06-2023,507786272.210694
50,pepe,08-06-2023,452431162.26118666
51,pepe,09-06-2023,456233985.2083408
52,pepe,10-06-2023,476617369.06612206
53,pepe,11-06-2023,392907685.77103895
54,pepe,12-06-2023,382875475.1267437
55,pepe,13-06-2023,381697622.45017886
56,pepe,14-06-2023,384708734.1180163
57,pepe,15-06-2023,374220583.9987069
58,pepe,16-06-2023,376740819.0913369
59,pepe,17-06-2023,406224580.2092031
60,pepe,18-06-2023,422527946.9861487
61,pepe,19-06-2023,393410012.6983207
62,pepe,20-06-2023,396688845.2810498
63,pepe,21-06-2023,446641180.94034594
64,pepe,22-06-2023,581076836.8068392
65,pepe,23-06-2023,651070212.104566
66,pepe,24-06-2023,687989935.8676784
67,pepe,25-06-2023,649019568.121266
68,pepe,26-06-2023,677853459.899172
69,pepe,27-06-2023,639430916.2150474
70,pepe,28-06-2023,681142496.5571676
71,pepe,29-06-2023,600130651.57626
72,pepe,30-06-2023,652349707.0176079
73,pepe,01-07-2023,695544815.2208881
74,pepe,02-07-2023,652267435.7148088
75,pepe,03-07-2023,667299789.3546761
76,pepe,04-07-2023,766175421.9182279
77,pepe,05-07-2023,723562325.7292428
78,pepe,06-07-2023,697732753.6132088
79,pepe,07-07-2023,655887145.789464
80,pepe,08-07-2023,658465230.2173183
81,pepe,09-07-2023,652178339.6542803
82,pepe,10-07-2023,650129953.1928208
83,pepe,11-07-2023,637191486.7053475
84,pepe,12-07-2023,633477263.7084023
85,pepe,13-07-2023,635326373.7102047
86,pepe,14-07-2023,715619073.5993848
87,pepe,15-07-2023,686851411.2699183
88,pepe,16-07-2023,691648212.1062822
89,pepe,17-07-2023,661733326.2369201
90,pepe,18-07-2023,663461681.1819823
91,pepe,19-07-2023,638263958.1472048
92,pepe,20-07-2023,644770691.5178314
93,pepe,21-07-2023,634548595.9334279
94,pepe,22-07-2023,643003939.1513677
95,pepe,23-07-2023,624556939.6751658
96,pepe,24-07-2023,634387884.03238
97,pepe,25-07-2023,566547362.828891
98,pepe,26-07-2023,551129096.0034157
99,pepe,27-07-2023,560841992.0877185
100,pepe,28-07-2023,565229158.2673187
101,pepe,29-07-2023,564454971.8930088
102,pepe,30-07-2023,568487135.4032912
103,pepe,31-07-2023,545433926.2550696
104,pepe,01-08-2023,519430041.09763145
105,pepe,02-08-2023,533457206.6616184
106,pepe,03-08-2023,511909630.46879935
107,pepe,04-08-2023,505829904.1464762
108,pepe,05-08-2023,488623255.4177107
109,pepe,06-08-2023,484880250.4148465
110,pepe,07-08-2023,487220364.8348162
111,pepe,08-08-2023,470294417.675523
112,pepe,09-08-2023,495032096.3059238
113,pepe,10-08-2023,519081424.0546337
114,pepe,11-08-2023,518199336.10847455
115,pepe,12-08-2023,524695417.5599518
116,pepe,13-08-2023,565342771.9559815
117,pepe,14-08-2023,573993674.7212431
118,pepe,15-08-2023,592940633.668601
119,pepe,16-08-2023,533219812.5913529
120,pepe,17-08-2023,490992710.4707976
121,pepe,18-08-2023,454805759.5036464
