,symbol,date,mcap_usd
0,sol,12-04-2020,6173607.678345317
1,sol,13-04-2020,7269680.447445141
2,sol,14-04-2020,6302364.150584625
3,sol,15-04-2020,5306221.06575891
4,sol,16-04-2020,5114653.932636794
5,sol,17-04-2020,5505929.486978686
6,sol,18-04-2020,5348323.975349362
7,sol,19-04-2020,5423066.285864263
8,sol,20-04-2020,4844617.211182358
9,sol,21-04-2020,4285479.154681022
10,sol,22-04-2020,4591546.761226098
11,sol,23-04-2020,5446538.173850838
12,sol,24-04-2020,4909586.999036558
13,sol,25-04-2020,5027193.620409137
14,sol,26-04-2020,5173619.233465031
15,sol,27-04-2020,5137791.330825961
16,sol,28-04-2020,4616001.375155629
17,sol,29-04-2020,5283691.351331575
18,sol,30-04-2020,5897415.537215416
19,sol,01-05-2020,5635423.505964131
20,sol,02-05-2020,5735879.899599453
21,sol,03-05-2020,5669404.169981707
22,sol,04-05-2020,5486412.385664286
23,sol,05-05-2020,5354861.583908894
24,sol,06-05-2020,5195811.6286706
25,sol,07-05-2020,5010066.054780242
26,sol,08-05-2020,4874818.721855924
27,sol,09-05-2020,4827334.908169065
28,sol,10-05-2020,4816707.909418276
29,sol,11-05-2020,4324416.949285259
30,sol,12-05-2020,4171226.2991002905
31,sol,13-05-2020,4266741.231304909
32,sol,14-05-2020,4413742.897500913
33,sol,15-05-2020,4570789.918376839
34,sol,16-05-2020,4432087.508991812
35,sol,17-05-2020,4752035.386171752
36,sol,18-05-2020,4898008.357759836
37,sol,19-05-2020,5213969.633802138
38,sol,20-05-2020,4996233.199332481
39,sol,21-05-2020,4629608.829738474
40,sol,22-05-2020,4853042.594897839
41,sol,23-05-2020,4919865.806567834
42,sol,24-05-2020,4866957.615424991
43,sol,25-05-2020,4374843.160369413
44,sol,26-05-2020,4809730.17960867
45,sol,27-05-2020,4598505.351008801
46,sol,28-05-2020,4715158.090275346
47,sol,29-05-2020,9366383.783941554
48,sol,30-05-2020,9427078.266084636
49,sol,31-05-2020,9591470.33610501
50,sol,01-06-2020,9399234.951485896
51,sol,02-06-2020,9424972.586161828
52,sol,03-06-2020,9310563.109433703
53,sol,04-06-2020,9614805.94741188
54,sol,05-06-2020,9543805.262487222
55,sol,06-06-2020,10747702.95638117
56,sol,07-06-2020,10180036.835310562
57,sol,08-06-2020,10138083.793723866
58,sol,09-06-2020,10913789.386770498
59,sol,10-06-2020,10726797.093153996
60,sol,11-06-2020,10648020.65447342
61,sol,12-06-2020,9341515.406268211
62,sol,13-06-2020,9722321.601662133
63,sol,14-06-2020,9955797.604756866
64,sol,15-06-2020,9583560.125035351
65,sol,16-06-2020,9320494.000741212
66,sol,17-06-2020,9519846.38912149
67,sol,18-06-2020,9549958.35463254
68,sol,19-06-2020,10224928.435807472
69,sol,20-06-2020,11247343.894203106
70,sol,21-06-2020,10673766.043338615
71,sol,22-06-2020,11086240.79289364
72,sol,23-06-2020,11996277.112687156
73,sol,24-06-2020,11646898.982503338
74,sol,25-06-2020,12150092.54225176
75,sol,26-06-2020,11741625.18994288
76,sol,27-06-2020,12079079.145186102
77,sol,28-06-2020,11750514.839677684
78,sol,29-06-2020,13136127.952360293
79,sol,30-06-2020,14062849.974509096
80,sol,01-07-2020,14164459.013979023
81,sol,02-07-2020,13737840.609279668
82,sol,03-07-2020,12783903.734507758
83,sol,04-07-2020,12672163.175031388
84,sol,05-07-2020,12892264.592707587
85,sol,06-07-2020,11423393.47428414
86,sol,07-07-2020,11691026.180906912
87,sol,08-07-2020,12435090.742149867
88,sol,09-07-2020,13138366.724263769
89,sol,10-07-2020,14045120.422821058
90,sol,11-07-2020,15112460.37027957
91,sol,12-07-2020,15255277.05816987
92,sol,13-07-2020,16696748.621766666
93,sol,14-07-2020,20428062.235112287
94,sol,15-07-2020,19972946.84442129
95,sol,16-07-2020,24362181.926540542
96,sol,17-07-2020,17274473.46197496
97,sol,18-07-2020,20917439.75564856
98,sol,19-07-2020,20602905.14344744
99,sol,20-07-2020,19624140.86478576
100,sol,21-07-2020,18811046.939017244
101,sol,22-07-2020,20859692.480081823
102,sol,23-07-2020,23288212.437627885
103,sol,24-07-2020,23621340.96676559
104,sol,25-07-2020,22240716.375305213
105,sol,26-07-2020,27986367.374513853
106,sol,27-07-2020,35745817.7886529
107,sol,28-07-2020,41165009.82828771
108,sol,29-07-2020,41629008.98213004
109,sol,30-07-2020,40210662.87394944
110,sol,31-07-2020,41117076.71814283
111,sol,01-08-2020,37711209.1687282
112,sol,02-08-2020,37591996.350815535
113,sol,03-08-2020,42382004.442631856
114,sol,04-08-2020,43879557.43250306
115,sol,05-08-2020,46368816.3139189
116,sol,06-08-2020,43050611.45569475
117,sol,07-08-2020,57169342.30736419
118,sol,08-08-2020,54969359.87215626
119,sol,09-08-2020,65401183.62573061
120,sol,10-08-2020,71020175.15382175
121,sol,11-08-2020,87332088.95472732
122,sol,12-08-2020,91851887.99480896
123,sol,13-08-2020,105458413.8307931
124,sol,14-08-2020,108874815.26710749
125,sol,15-08-2020,101662334.18190424
126,sol,16-08-2020,94560197.3979158
127,sol,17-08-2020,101093049.99744666
128,sol,18-08-2020,95117475.85564578
129,sol,19-08-2020,103512572.7225058
130,sol,20-08-2020,91194729.76245809
131,sol,21-08-2020,101186302.29256418
132,sol,22-08-2020,92576368.0854075
133,sol,23-08-2020,95149797.26079312
134,sol,24-08-2020,104838610.420335
135,sol,25-08-2020,105025071.74355628
136,sol,26-08-2020,103504610.6052642
137,sol,27-08-2020,114219136.44905476
138,sol,28-08-2020,110491240.21623018
139,sol,29-08-2020,129651597.85797817
140,sol,30-08-2020,128816760.88101023
141,sol,31-08-2020,144468272.8412078
142,sol,01-09-2020,157231078.23530626
143,sol,02-09-2020,144080731.16918826
144,sol,03-09-2020,137747076.79202124
145,sol,04-09-2020,119105104.96979707
146,sol,05-09-2020,118962336.47400291
147,sol,06-09-2020,87193154.31518938
148,sol,07-09-2020,103754712.65869252
149,sol,08-09-2020,99103615.3011978
150,sol,09-09-2020,85338829.21618006
151,sol,10-09-2020,121438753.71660665
152,sol,11-09-2020,118759154.8277774
153,sol,12-09-2020,121133286.76719752
154,sol,13-09-2020,116947704.57942767
155,sol,14-09-2020,112654349.57438488
156,sol,15-09-2020,118721263.47138277
157,sol,16-09-2020,107150010.94799854
158,sol,17-09-2020,94070098.59695262
159,sol,18-09-2020,107329192.55976476
160,sol,19-09-2020,115398247.16683204
161,sol,20-09-2020,113066182.9422364
162,sol,21-09-2020,107485223.20908946
163,sol,22-09-2020,105132421.8250733
164,sol,23-09-2020,110996725.68154047
165,sol,24-09-2020,107801478.99659245
166,sol,25-09-2020,118878878.68168244
167,sol,26-09-2020,122238331.59277277
168,sol,27-09-2020,121477645.40078652
169,sol,28-09-2020,124163454.94575258
170,sol,29-09-2020,115671366.64099684
171,sol,30-09-2020,117794737.82329232
172,sol,01-10-2020,116997169.793763
173,sol,02-10-2020,116446343.764479
174,sol,03-10-2020,107373602.62220952
175,sol,04-10-2020,104629198.18132688
176,sol,05-10-2020,104629072.11208975
177,sol,06-10-2020,109983903.67952684
178,sol,07-10-2020,90510593.136206
179,sol,08-10-2020,96626244.2271101
180,sol,09-10-2020,100361073.08665311
181,sol,10-10-2020,108143704.99926196
182,sol,11-10-2020,102263473.3254
183,sol,12-10-2020,102599664.11189498
184,sol,13-10-2020,109398780.83412512
185,sol,14-10-2020,104349414.79795986
186,sol,15-10-2020,100630989.38907091
187,sol,16-10-2020,98861299.72953752
188,sol,17-10-2020,93684534.75782022
189,sol,18-10-2020,95604758.79489854
